season,title,rating,votes,summary,link
1,S1.E1 ∙ Pilot,8.4, (7.9K),Young kindergarten teacher Rebecca Adler collapses in her classroom after losing intelligible speech while teaching students.,https://www.imdb.com/title/tt0606035/?ref_=ttep_ep_1
1,S1.E2 ∙ Paternity,8.0, (5.9K),"The team helps a high school boy (16) who has double vision and night terrors. (Clinic Cases: Unvaccinated baby, man with boil on leg.)",https://www.imdb.com/title/tt0606034/?ref_=ttep_ep_2
1,S1.E3 ∙ Occam's Razor,8.1, (5.5K),"A college boy whose low blood pressure does not respond with IV fluids piques House's curiosity. Clinic Cases: A woman who had a cold last week, man with a sore throat, woman whose leg hurts after running 6 miles, a boy and his MP3 Player.",https://www.imdb.com/title/tt0606033/?ref_=ttep_ep_3
1,S1.E4 ∙ Maternity,8.3, (5.4K),A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!,https://www.imdb.com/title/tt0606030/?ref_=ttep_ep_4
1,S1.E5 ∙ Damned If You Do,8.0, (5.1K),A nun suffering from acute dermatitis and asthma treated by House with possibly the wrong medication comes dangerously close to death.,https://www.imdb.com/title/tt0606018/?ref_=ttep_ep_5
1,S1.E6 ∙ The Socratic Method,8.3, (5K),"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her young son as caregiver.",https://www.imdb.com/title/tt0606045/?ref_=ttep_ep_6
1,S1.E7 ∙ Fidelity,8.0, (4.9K),"A woman comes down with symptoms of African sleeping sickness, but there seems to be no way she could have contracted it. House and his aides must ask a few tough questions and make some tough decisions in order to try to save her.",https://www.imdb.com/title/tt0606022/?ref_=ttep_ep_7
1,S1.E8 ∙ Poison,8.0, (4.7K),"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady.",https://www.imdb.com/title/tt0606036/?ref_=ttep_ep_8
1,S1.E9 ∙ DNR,8.7, (5.4K),"A famous jazz trumpeter, diagnosed with ALS, signs a DNR form, but because House believes the diagnosis wrong, he breaks the law by resuscitating him.",https://www.imdb.com/title/tt0606016/?ref_=ttep_ep_9
1,S1.E10 ∙ Histories,8.4, (4.9K),A delusional homeless woman is found unconscious in an acid house exhibiting a variety of symptoms which Foreman thinks she's faking.,https://www.imdb.com/title/tt0606025/?ref_=ttep_ep_10
