season,episode_num,title,rating,votes,link,summary
1,1,S1.E1 ∙ Pilot,8.4,7900,https://www.imdb.com/title/tt0606035/?ref_=ttep_ep_1,Young kindergarten teacher Rebecca Adler collapses in her classroom after losing intelligible speech while teaching students.
1,2,S1.E2 ∙ Paternity,8,5900,https://www.imdb.com/title/tt0606034/?ref_=ttep_ep_2,"The team helps a high school boy (16) who has double vision and night terrors. (Clinic Cases: Unvaccinated baby, man with boil on leg.)"
1,3,S1.E3 ∙ Occam's Razor,8.1,5500,https://www.imdb.com/title/tt0606033/?ref_=ttep_ep_3,"A college boy whose low blood pressure does not respond with IV fluids piques House's curiosity. Clinic Cases: A woman who had a cold last week, man with a sore throat, woman whose leg hurts after running 6 miles, a boy and his MP3 Player."
1,4,S1.E4 ∙ Maternity,8.3,5400,https://www.imdb.com/title/tt0606030/?ref_=ttep_ep_4,A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!
1,5,S1.E5 ∙ Damned If You Do,8,5100,https://www.imdb.com/title/tt0606018/?ref_=ttep_ep_5,A nun suffering from acute dermatitis and asthma treated by House with possibly the wrong medication comes dangerously close to death.
1,6,S1.E6 ∙ The Socratic Method,8.3,5000,https://www.imdb.com/title/tt0606045/?ref_=ttep_ep_6,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her young son as caregiver."
1,7,S1.E7 ∙ Fidelity,8,4900,https://www.imdb.com/title/tt0606022/?ref_=ttep_ep_7,"A woman comes down with symptoms of African sleeping sickness, but there seems to be no way she could have contracted it. House and his aides must ask a few tough questions and make some tough decisions in order to try to save her."
1,8,S1.E8 ∙ Poison,8,4700,https://www.imdb.com/title/tt0606036/?ref_=ttep_ep_8,"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady."
1,9,S1.E9 ∙ DNR,8.7,5400,https://www.imdb.com/title/tt0606016/?ref_=ttep_ep_9,"A famous jazz trumpeter, diagnosed with ALS, signs a DNR form, but because House believes the diagnosis wrong, he breaks the law by resuscitating him."
1,10,S1.E10 ∙ Histories,8.4,4900,https://www.imdb.com/title/tt0606025/?ref_=ttep_ep_10,A delusional homeless woman is found unconscious in an acid house exhibiting a variety of symptoms which Foreman thinks she's faking.
